study_id,gene,cpg_region,intervention_type,intervention_detail,tissue,cell_type,sample_size_n,direction,effect_size,p_value,method,quality_notes,doi;
Yehuda_2016_F0,FKBP5,intron7_bin3_site6,stress,Holocaust exposure (concentration camp torture persecution),blood,peripheral blood,40,hyper,5.06,0.046,pyrosequencing,Small sample (n=32 exposed). Cross-sectional. Intergenerational design - F0 and F1 show opposite directions at same site.,10.1016/j.biopsych.2015.08.005;
Yehuda_2016_F1,FKBP5,intron7_bin3_site6,stress,Intergenerational Holocaust exposure (parental trauma no direct exposure),blood,peripheral blood,31,hypo,-4.45,0.034,pyrosequencing,Small sample (n=22 offspring). Intergenerational - opposite direction to F0. Parental PTSD as potential confounder.,10.1016/j.biopsych.2015.08.005;
McGowan_2009,NR3C1,exon1F_promoter,stress,childhood abuse (sexual - physical - neglect) in suicide victims,brain,hippocampus (postmortem),36,hyper,NaN,0.05,sodium bisulfite mapping,Postmortem tissue - no live subjects. Three-group comparison: abused suicide vs nonabused suicide vs controls. Brain tissue not blood - unique in dataset.,10.1038/nn.2270;
Nothling_2025,FKBP5,intron7_CpG1-CpG5,stress,childhood trauma (sexual - physical - emotional - neglect - domestic violence) in rape survivors,blood,peripheral blood,96,mixed,NaN,0.0005,EpiTYPER Sequenom MassArray,Longitudinal (baseline/3m/6m post-rape). Direction depends on rs1360780 genotype: CC=negative correlation with trauma; CT/TT=positive correlation. No overall hyper/hypo direction reportable.,10.1080/20008066.2025.2485707
